playerid,birthyear,birthcountry,deathyear,namefirst,namelast,weight,height,bats,throws
adamsmi01,1947.0,USA,,Mike,Adamson,185.0,74.0,R,R
adamsmi02,1948.0,USA,,Mike,Adams,180.0,69.0,R,R
adamsmi03,1978.0,USA,,Mike,Adams,210.0,77.0,R,R
adamsre01,1921.0,USA,2017.0,Red,Adams,185.0,72.0,R,R
adamsri01,1878.0,USA,1955.0,Rick,Adams,165.0,72.0,L,L
adamsri02,1959.0,USA,2011.0,Ricky,Adams,180.0,74.0,R,R
adamsru01,1980.0,USA,,Russ,Adams,205.0,72.0,L,R
adamsry01,1987.0,USA,,Ryan,Adams,185.0,71.0,R,R
adamssp01,1894.0,USA,1989.0,Sparky,Adams,151.0,65.0,R,R
adamssp02,1898.0,USA,1970.0,Spencer,Adams,158.0,69.0,L,R
adamste01,1973.0,USA,,Terry,Adams,180.0,75.0,R,R
adamswi01,1890.0,USA,1937.0,Willie,Adams,180.0,76.0,R,R
adamswi02,1972.0,USA,,Willie,Adams,215.0,79.0,R,R
adcocjo01,1927.0,USA,1999.0,Joe,Adcock,210.0,76.0,R,R
adcocna01,1988.0,USA,,Nathan,Adcock,235.0,76.0,R,R
addisbo01,1925.0,USA,2016.0,Bob,Addis,175.0,72.0,L,R
adducji01,1959.0,USA,,Jim,Adduci,200.0,77.0,L,L
adducji02,1985.0,CAN,,Jim,Adduci,210.0,74.0,L,L
addybo01,1842.0,CAN,1910.0,Bob,Addy,160.0,68.0,L,L
adenhni01,1986.0,USA,2009.0,Nick,Adenhart,185.0,75.0,R,R
aderhmo01,1915.0,USA,1955.0,Morrie,Aderholt,188.0,73.0,L,R
adkinde01,1918.0,USA,1998.0,Dewey,Adkins,195.0,74.0,R,R
adkindi01,1920.0,USA,1955.0,Dick,Adkins,165.0,70.0,R,R
adkindo01,1872.0,USA,1934.0,Doc,Adkins,220.0,70.0,R,R
adkingr01,1897.0,USA,1966.0,Grady,Adkins,175.0,71.0,R,R
adkinhe01,1874.0,USA,1953.0,Harry,Atkinson,,,,
adkinjo01,1977.0,USA,,Jon,Adkins,200.0,72.0,L,R
adkinst01,1964.0,USA,,Steve,Adkins,210.0,78.0,R,L
adlemti01,1987.0,USA,,Tim,Adleman,225.0,77.0,R,R
adlesda01,1943.0,USA,2016.0,Dave,Adlesh,187.0,72.0,R,R
adriaeh01,1989.0,Venezuela,,Ehire,Adrianza,170.0,73.0,B,R
afenitr01,1963.0,USA,,Troy,Afenir,185.0,76.0,R,R
affelje01,1979.0,USA,,Jeremy,Affeldt,225.0,76.0,L,L
agbaybe01,1971.0,USA,,Benny,Agbayani,225.0,72.0,R,R
ageeto01,1942.0,USA,2001.0,Tommie,Agee,195.0,71.0,R,R
agganha01,1929.0,USA,1955.0,Harry,Agganis,200.0,74.0,L,L
aglerjo01,1887.0,USA,1971.0,Joe,Agler,165.0,71.0,L,L
agnewsa01,1887.0,USA,1951.0,Sam,Agnew,185.0,71.0,R,R
agostju01,1958.0,P.R.,,Juan,Agosto,190.0,74.0,L,L
aguaylu01,1959.0,P.R.,,Luis,Aguayo,173.0,69.0,R,R
aguilch01,1979.0,USA,,Chris,Aguila,200.0,71.0,R,R
aguilje01,1990.0,Venezuela,,Jesus,Aguilar,250.0,75.0,R,R
aguilri01,1961.0,USA,,Rick,Aguilera,195.0,76.0,R,R
aguirha01,1931.0,USA,1994.0,Hank,Aguirre,205.0,76.0,R,L
ahearch01,1858.0,USA,1919.0,Bill,Ahearn,,,,
ahearpa01,1969.0,USA,,Pat,Ahearne,195.0,75.0,R,R
ahmedni01,1990.0,USA,,Nick,Ahmed,195.0,74.0,R,R
aikenwi01,1954.0,USA,,Willie,Aikens,220.0,75.0,L,R
aingeda01,1959.0,USA,,Danny,Ainge,175.0,76.0,R,R
ainsmed01,1890.0,Russia,1981.0,Eddie,Ainsmith,180.0,71.0,R,R
ainswku01,1978.0,USA,,Kurt,Ainsworth,192.0,75.0,R,R
aitchra01,1887.0,USA,1958.0,Raleigh,Aitchison,175.0,71.0,R,L
aitonge01,1890.0,USA,1976.0,George,Aiton,175.0,71.0,B,R
akejo01,1861.0,USA,1887.0,John,Ake,180.0,73.0,R,R
akerfda01,1962.0,USA,2012.0,Darrel,Akerfelds,210.0,74.0,R,R
akerja01,1940.0,USA,,Jack,Aker,190.0,74.0,R,R
akersbi01,1904.0,USA,1962.0,Bill,Akers,178.0,71.0,R,R
akersje01,1887.0,USA,1979.0,Jerry,Akers,175.0,71.0,R,R
albagi01,1960.0,D.R.,,Gibson,Alba,160.0,74.0,L,L
albaljo01,1982.0,P.R.,,Jonathan,Albaladejo,270.0,77.0,R,R
albanjo01,1933.0,USA,2000.0,Joe,Albanese,215.0,75.0,R,R
alberan01,1985.0,CAN,,Andrew,Albers,200.0,73.0,R,L
alberbu01,1950.0,USA,,Butch,Alberts,205.0,74.0,R,R
albercy01,1882.0,USA,1917.0,Cy,Alberts,230.0,72.0,R,R
albergu01,1860.0,USA,1912.0,Gus,Alberts,180.0,66.0,R,R
alberha01,1992.0,D.R.,,Hanser,Alberto,215.0,71.0,R,R
alberjo01,1969.0,P.R.,,Jose,Alberro,190.0,74.0,R,R
alberma01,1983.0,USA,,Matt,Albers,225.0,73.0,L,R
albieoz01,1997.0,Curacao,,Ozzie,Albies,160.0,69.0,B,R
albosed01,1918.0,USA,2003.0,Ed,Albosta,175.0,73.0,R,R
albreed01,1929.0,USA,1979.0,Ed,Albrecht,165.0,70.0,R,R
albrija01,1921.0,USA,1991.0,Jack,Albright,175.0,69.0,R,R
albural01,1986.0,D.R.,,Al,Alburquerque,195.0,72.0,R,R
alburvi01,1947.0,USA,2017.0,Vic,Albury,190.0,72.0,L,L
alcalsa01,1952.0,D.R.,,Santo,Alcala,195.0,77.0,R,R
alcanar01,1991.0,D.R.,,Arismendy,Alcantara,170.0,70.0,B,R
alcanis01,1973.0,D.R.,,Israel,Alcantara,180.0,74.0,R,R
