fg,3p,ft,reb,ast,stl,blk,tov,total_points,efficiency
52.9,0.0,69.1,4.2,0.4,0.6,0.8,1.1,592.0,35.02958579881657
46.7,21.4,81.0,3.8,0.4,0.3,0.6,0.9,431.2,28.556291390728475
41.7,37.5,76.1,1.5,1.5,0.7,0.2,0.8,225.49999999999997,15.134228187919462
40.7,9.5,80.4,1.7,2.1,0.9,0.0,1.3,244.79999999999998,16.54054054054054
39.9,27.0,87.5,1.5,2.8,0.9,0.0,1.4,255.0,17.586206896551722
40.2,36.7,76.9,2.1,0.8,0.3,0.2,0.7,198.9,15.06818181818182
42.3,0.0,80.3,1.3,1.9,0.6,0.1,1.3,331.2,26.709677419354836
45.2,100.0,82.1,2.7,0.6,0.5,0.3,0.6,248.4,21.050847457627118
56.8,0.0,66.1,3.4,0.3,0.6,0.7,0.8,307.8,27.238938053097346
30.3,36.6,66.7,0.7,1.5,0.7,0.1,1.3,98.39999999999999,9.283018867924527
41.5,19.2,75.4,1.1,1.8,0.6,0.1,1.0,204.99999999999997,21.354166666666664
45.6,0.0,65.5,1.2,1.1,0.6,0.2,0.8,190.4,19.833333333333336
38.8,29.2,75.6,0.7,1.4,0.4,0.1,1.0,247.9,27.544444444444444
38.0,14.3,65.9,0.8,1.6,0.7,0.1,1.0,125.0,14.367816091954024
47.5,0.0,75.0,1.5,0.3,0.2,0.2,0.6,121.50000000000001,14.294117647058826
36.8,22.2,82.6,0.9,0.7,0.3,0.1,0.6,129.2,15.75609756097561
43.9,0.0,52.5,1.9,0.3,0.1,0.1,0.8,117.6,14.341463414634147
45.6,18.8,74.4,1.3,0.6,0.2,0.1,0.5,172.8,21.07317073170732
39.2,20.0,53.6,1.2,0.6,0.4,0.2,0.8,140.0,19.178082191780824
44.3,18.2,81.0,1.1,0.3,0.2,0.1,0.5,103.6,14.191780821917808
43.1,27.0,52.6,0.8,0.5,0.2,0.0,0.3,119.60000000000001,17.850746268656717
38.4,43.3,83.3,0.8,0.3,0.1,0.0,0.3,112.2,17.53125
38.0,0.0,75.6,1.2,0.3,0.1,0.1,0.5,88.0,16.60377358490566
37.8,0.0,37.5,1.0,0.4,0.3,0.2,0.3,30.400000000000002,6.333333333333334
35.3,11.8,66.7,0.6,0.6,0.1,0.0,0.5,46.800000000000004,10.88372093023256
42.2,27.3,73.6,8.8,4.0,1.4,1.1,2.9,1422.0,37.718832891246684
30.4,20.4,74.5,1.2,0.5,0.7,0.1,0.7,187.0,14.274809160305344
46.7,34.2,73.1,10.3,2.2,1.0,1.3,2.9,1361.6,38.68181818181817
40.6,36.5,77.0,2.8,4.0,1.3,0.2,2.5,915.2,27.31940298507463
42.5,37.4,75.0,2.9,1.6,0.8,0.3,1.6,1287.3999999999999,45.171929824561396
45.0,7.7,71.1,3.0,6.4,2.0,0.2,2.2,590.4,21.547445255474454
51.2,0.0,72.2,7.9,0.3,0.6,1.5,0.9,575.1,22.204633204633208
44.1,13.3,78.2,3.4,1.4,0.9,0.3,1.9,912.0,35.90551181102362
46.4,20.6,87.3,2.2,4.2,1.0,0.2,1.7,713.4,30.10126582278481
46.4,20.6,87.3,2.2,4.2,1.0,0.2,1.7,713.4,30.10126582278481
32.7,21.4,64.9,0.8,1.7,0.5,0.1,0.6,93.1,10.119565217391305
32.7,21.4,64.9,0.8,1.7,0.5,0.1,0.6,93.1,10.119565217391305
45.0,14.3,83.5,3.2,3.7,1.3,0.5,2.0,902.0,38.05907172995781
50.8,0.0,63.6,5.1,0.9,0.6,1.9,1.3,524.4,23.203539823008846
41.3,24.0,85.7,1.8,3.1,0.8,0.1,1.6,944.6999999999999,41.986666666666665
43.9,9.7,70.7,2.1,2.5,0.4,0.2,1.6,616.0,29.90291262135922
42.8,29.9,81.6,3.5,1.8,0.5,0.3,1.5,696.6,33.98048780487805
49.7,40.0,84.3,3.3,1.4,0.6,0.3,0.9,237.6,12.184615384615384
41.7,0.0,55.0,5.6,0.4,0.6,1.2,0.9,307.4,15.927461139896371
41.9,25.0,79.6,1.7,1.3,0.3,0.1,1.0,504.0,29.822485207100595
41.2,17.6,74.7,1.9,2.8,0.8,0.1,1.2,401.8,24.35151515151515
38.0,29.2,77.3,1.9,1.2,0.5,0.1,1.2,427.8,26.40740740740741
42.5,0.0,67.2,4.3,0.4,0.2,0.3,1.4,483.6,30.03726708074534
48.7,0.0,66.2,4.8,0.5,0.3,0.3,0.7,401.5,24.93788819875776
49.2,0.0,63.2,5.2,0.3,0.5,0.4,1.0,392.2,24.360248447204967
42.1,29.8,63.0,2.9,0.8,0.6,0.3,0.9,509.2,33.064935064935064
46.5,0.0,71.2,4.2,0.6,0.6,0.5,0.8,313.5,21.040268456375838
44.6,18.2,58.8,1.5,2.8,0.7,0.2,1.6,263.2,18.405594405594403
44.1,40.0,72.2,2.1,0.9,0.4,0.1,1.0,299.7,22.03676470588235
46.5,0.0,64.4,2.7,0.6,0.2,0.2,1.0,266.59999999999997,20.045112781954884
38.4,16.1,80.5,1.0,1.3,0.5,0.1,0.9,241.79999999999998,19.343999999999998
43.8,11.8,68.4,2.0,0.8,0.6,0.2,0.8,351.90000000000003,29.571428571428573
41.3,0.0,55.6,1.4,1.0,0.4,0.0,0.8,140.4,11.898305084745763
41.6,25.0,65.2,1.9,0.7,0.5,0.2,0.3,229.4,19.77586206896552
48.7,16.7,66.3,2.4,0.6,0.3,0.1,1.1,516.5999999999999,44.53448275862068
34.8,27.3,64.3,2.2,0.8,0.5,0.2,0.3,72.60000000000001,6.722222222222222
46.0,0.0,68.9,2.8,0.7,0.2,0.4,0.8,237.60000000000002,21.21428571428572
40.8,27.8,73.2,1.1,1.2,0.5,0.1,0.7,277.4,25.218181818181815
40.4,0.0,66.7,3.0,0.2,0.3,0.3,0.7,54.0,4.954128440366972
44.1,0.0,70.2,1.1,2.1,0.4,0.2,1.1,236.8,21.724770642201836
41.5,0.0,80.0,0.8,1.9,0.5,0.1,0.8,190.4,17.962264150943398
39.1,0.0,69.6,1.2,1.0,0.3,0.1,0.8,204.8,19.320754716981135
41.8,33.3,90.5,0.8,1.9,0.5,0.0,0.6,210.8,20.871287128712872
40.3,37.5,75.8,1.4,0.7,0.3,0.0,0.5,136.29999999999998,13.629999999999999
44.7,50.0,66.1,2.1,0.3,0.2,0.1,0.8,182.0,18.57142857142857
