Model,F1,Recall,Precision,Accuracy
Random Forest CV,0.5813676103635199,0.4744840887174542,0.754305899688017,0.8609333333333333
XGBoost CV,0.5837719100994183,0.4797192756884175,0.74930577402188,0.8609333333333332
tunedDecisionTree,0.5117716477907217,0.4437372763312975,0.6087554639837638,0.8284
